track_name,valence,energy,danceability,acousticness,instrumentalness,user_preference
Wood Worm,0.359,0.863,0.8079999999999999,0.0049299999999999,0.8109999999999999,6.22
Out of Tune,0.119,0.272,0.413,0.69,7.04e-06,4.73
Bemyself,0.884,0.3829999999999999,0.497,0.377,2.53e-06,7.21
Always Leaving,0.5670000000000001,0.321,0.591,0.764,0.00361,5.71
Spaceship (feat. Uffie) - Denis First & Reznikov Remix,0.473,0.804,0.691,0.0531,0.134,7.78
Can You Hear Him,0.441,0.911,0.3389999999999999,0.291,0.928,5.08
The Thrill Is Gone,0.537,0.415,0.66,0.0035399999999999,0.000518,7.31
Focus,0.612,0.659,0.569,0.198,0.00618,7.22
La Cumbia de Zague,0.904,0.721,0.868,0.0554,0.000265,8.71
Funk the Police,0.215,0.104,0.975,0.0379,0.0043,5.82
Fallin' - GET FAR Remix,0.179,0.8540000000000001,0.411,0.0478,0.00422,6.82
Que Me Duela,0.535,0.8140000000000001,0.7170000000000001,0.096,0.000217,7.81
Picky,0.228,0.405,0.858,0.0524,0.0788,6.93
Kill Moe,0.713,0.5760000000000001,0.866,0.172,1.56e-06,8.03
Shamrat,0.405,0.982,0.804,0.00634,0.863,6.68
Big Smoke,0.8370000000000001,0.8109999999999999,0.563,0.0832,0.872,6.47
Untitled Original 11383 - Take 1,0.596,0.368,0.429,0.706,1.96e-06,5.06
Swaying Leaves,0.828,0.228,0.901,0.794,0.882,4.6
One Kiss (with Dua Lipa) - Valentino Khan Remix,0.432,0.664,0.8290000000000001,0.1689999999999999,0.000927,7.24
Just The Same - AP3 House Remix,0.7170000000000001,0.68,0.804,0.00121,0.0137,8.96
Fair Enough,0.305,0.7829999999999999,0.412,0.00976,0.00235,6.16
Gave You Everything,0.352,0.987,0.413,0.0007509999999999,0.00266,7.41
Better Not (feat. Wafia) - Zach Nicita Remix,0.556,0.807,0.506,0.0811,0.000428,7.96
En Su Boca,0.251,0.665,0.845,0.528,0.000131,6.73
Doomsday - Piano Reprise,0.354,0.127,0.347,0.921,0.000117,3.94
Lil Flip,0.316,0.8340000000000001,0.965,0.0506,8.58e-06,7.78
The 5th of July,0.596,0.485,0.645,0.603,0.0191,6.47
Metal,0.862,0.746,0.71,0.000561,0.294,8.33
Near,0.157,0.48,0.296,0.166,0.934,3.91
one,0.248,0.382,0.727,0.821,0.7120000000000001,3.62
Venus & River,0.967,0.552,0.779,0.00616,2.61e-05,8.97
Ur Cute,0.551,0.743,0.948,0.444,0.000772,7.43
Lost In Translation,0.905,0.675,0.767,0.000725,0.00349,8.62
Half Way,0.767,0.8009999999999999,0.6679999999999999,0.597,4.39e-06,7.54
Red Planet - Red Planet Radio,0.39,0.968,0.698,0.0215,0.862,6.57
chimney,0.528,0.142,0.872,0.586,0.0752,6.19
What Is The Time,0.606,0.415,0.757,0.397,0.000492,6.55
Gerald Levert,0.244,0.629,0.846,0.28,0.0008609999999999,6.64
Red Planet - Red Planet Extended,0.432,0.97,0.7240000000000001,0.00339,0.8959999999999999,6.45
Keep It Real,0.298,0.381,0.755,0.00345,0.63,5.67
"Another Day, Another Dollar",0.266,0.65,0.632,0.0905,9.03e-06,6.73
Easy,0.5,0.746,0.618,0.0176,6.15e-05,8.15
"Jake's First Flight (From ""Avatar"")",0.0904,0.28,0.188,0.953,0.8109999999999999,2.04
Helpless,0.703,0.843,0.496,0.000181,0.0002399999999999,7.87
Dopamine Machine,0.405,0.903,0.784,0.0077,0.00028,8.75
I left my towel at my friend's house and then they moved PT 1,0.341,0.674,0.695,0.000637,0.033,7.22
New Wave,0.903,0.748,0.963,0.564,1.09e-06,8.24
Asylums for the feeling feat. Leila Adu,0.0818,0.425,0.401,0.00433,0.0633,5.5
Random,0.922,0.22,0.706,0.932,0.8009999999999999,4.52
You & Me,0.0954,0.5479999999999999,0.6609999999999999,0.652,0.265,4.93
Jon bong Jovi,0.4629999999999999,0.893,0.413,0.000123,0.0174,7.76
Squalor Victoria (Live in Brussels),0.497,0.7909999999999999,0.408,0.0176,0.722,6.13
Tech House Rewind - JackEL Remix,0.797,0.578,0.805,0.0144,0.8809999999999999,6.57
Have It (feat. Flo Rida) - Jo̩e Miami Nights Mix,0.556,0.93,0.723,0.0137,1.36e-05,7.78
season 9 ep 2-3,0.6890000000000001,0.8370000000000001,0.436,0.000182,5.55e-06,8.44
You're So Dead Meat,0.196,0.405,0.536,0.8759999999999999,0.000107,4.26
They Walk,0.8,0.625,0.3879999999999999,0.5770000000000001,0.000492,6.08
Lemonade,0.484,0.737,0.416,0.0271,0.0361,7.02
El Son de la Negra,0.6559999999999999,0.8540000000000001,0.7709999999999999,0.401,0.000566,7.89
OVER U,0.487,0.629,0.805,0.25,0.000204,7.87
wonder,0.401,0.7609999999999999,0.73,0.11,0.8590000000000001,5.9
Nema,0.979,0.551,0.8059999999999999,0.0063,0.865,6.72
Ocean - Au5 Remix,0.153,0.674,0.524,0.0305,8.120000000000001e-05,6.81
Limbs,0.0874,0.946,0.423,9.56e-05,0.0408,6.57
"Summer Stream, Pt. 2",0.7390000000000001,0.539,0.7020000000000001,9.46e-05,0.836,5.83
Shirim,0.528,0.71,0.648,0.0462,0.445,7.12
Some Nights,0.695,0.747,0.64,0.156,3.4e-06,8.06
depersoned,0.427,0.622,0.737,0.507,0.893,4.57
Let Me Remind You,0.818,0.7929999999999999,0.585,0.125,4.25e-05,8.44
Out the Rain,0.149,0.466,0.738,0.28,0.000192,6.2
Life Goes On,0.693,0.741,0.499,0.367,1.64e-06,7.1
Figure It Out,0.435,0.537,0.7559999999999999,0.0042,1.44e-05,7.63
Spits,0.138,0.478,0.7509999999999999,0.027,1.1e-05,6.02
Solo (feat. Demi Lovato) - Yxng Bane Remix,0.649,0.647,0.75,0.0401,2.9600000000000005e-05,7.89
Tu Sabes,0.568,0.82,0.665,0.0137,1.76e-06,8.13
Heat - Luke Solomon Fire Dub,0.911,0.755,0.816,0.018,0.00356,9.25
Pa' Pasar El Rato,0.723,0.763,0.721,0.511,2.67e-05,7.1
Messy - filous Remix,0.601,0.531,0.8740000000000001,0.204,0.000214,7.28
Cypher,0.0391,0.251,0.174,0.364,0.91,2.4
Mercy,0.0369,0.0423,0.122,0.878,0.905,0.84
"KIKI, DO YOU LOVE ME?",0.8759999999999999,0.802,0.691,0.3,1.88e-06,8.69
II. Allemande,0.134,0.0221,0.2269999999999999,0.965,0.836,0.89
La Ultima Vez,0.512,0.4429999999999999,0.778,0.938,3.12e-06,4.98
"Keyboard Concerto in A Major, BWV 1055 (Arr. D. Ferella for Mandolin & Chamber Ensemble): I. Allegro",0.5870000000000001,0.362,0.539,0.945,0.7240000000000001,3.72
"Keyboard Concerto in D Minor, BWV 1052 (Arr. D. Ferella for Mandolin & Chamber Ensemble): I. Allegro",0.355,0.414,0.465,0.892,0.741,3.27
Miracle - IHF Remix,0.257,0.5539999999999999,0.6890000000000001,0.248,0.0127,6.8
"Keyboard Concerto in D Minor, BWV 1052 (Arr. D. Ferella for Mandolin & Chamber Ensemble): II. Adagio",0.0458,0.187,0.235,0.9,0.823,1.93
"Keyboard Concerto in D Minor, BWV 1052 (Arr. D. Ferella for Mandolin & Chamber Ensemble): III. Allegro",0.473,0.465,0.414,0.875,0.899,3.14
"Keyboard Concerto in A Major, BWV 1055 (Arr. D. Ferella for Mandolin & Chamber Ensemble): II. Larghetto",0.182,0.208,0.308,0.915,0.0654,3.16
"Keyboard Concerto in A Major, BWV 1055 (Arr. D. Ferella for Mandolin & Chamber Ensemble): III. Allegro ma non tanto",0.556,0.341,0.397,0.926,0.8690000000000001,2.77
"Keyboard Concerto in D Minor, BWV 1059 (Arr. D. Ferella for Mandolin & Chamber Ensemble): I. Allegro",0.363,0.425,0.46,0.836,0.732,2.88
"Keyboard Concerto in D Minor, BWV 1059 (Arr. D. Ferella for Mandolin & Chamber Ensemble): II. Largo",0.24,0.211,0.607,0.74,0.657,3.83
"Keyboard Concerto in D Minor, BWV 1059 (Arr. D. Ferella for Mandolin & Chamber Ensemble): III. Presto",0.521,0.427,0.354,0.8909999999999999,0.654,3.19
"Concerto for 2 Keyboards in C Minor, BWV 1060 (Arr. D. Ferella for 2 Mandolins & Chamber Ensemble): I. Allegro",0.606,0.517,0.39,0.852,0.667,4.04
"Concerto for 2 Keyboards in C Minor, BWV 1060 (Arr. D. Ferella for 2 Mandolins & Chamber Ensemble): II. Adagio",0.758,0.467,0.512,0.8190000000000001,0.241,4.87
"Concerto for 2 Keyboards in C Minor, BWV 1060 (Arr. D. Ferella for 2 Mandolins & Chamber Ensemble): III. Allegro",0.71,0.5760000000000001,0.405,0.747,0.236,5.49
Back In Time,0.503,0.7609999999999999,0.648,0.0424,0.000152,7.66
Gravity,0.18,0.534,0.447,0.258,1.51e-05,5.33
Miracle - Mija Remix,0.155,0.597,0.818,0.0186,0.7190000000000001,5.38
Bromance,0.423,0.789,0.5429999999999999,0.0193,0.871,5.84
"Piano Quartet No. 2 in E-Flat Major, K. 493: III. Allegretto",0.349,0.108,0.412,0.987,0.887,2.2
Brooklyn In The Summer - Alex Finkin Remix,0.968,0.565,0.893,0.000926,1.56e-06,8.95
